"NC","True","Estimate","RMSE","DEFF"
50,0.357059,0.390717,0.05524,1.1203
75,0.357059,0.383245,0.044465,1.1164
100,0.357059,0.37962,0.03837,1.1127
125,0.357059,0.37581,0.033365,1.114
150,0.357059,0.374273,0.030858,1.1132
175,0.357059,0.372431,0.027597,1.1147
200,0.357059,0.370683,0.025976,1.1126
225,0.357059,0.370349,0.024667,1.1122
250,0.357059,0.369392,0.023323,1.11
275,0.357059,0.368317,0.021794,1.1107
300,0.357059,0.367542,0.020684,1.1121
325,0.357059,0.367129,0.019957,1.1094
350,0.357059,0.366479,0.019132,1.1106
375,0.357059,0.366416,0.018578,1.1098
400,0.357059,0.365333,0.017469,1.1071
425,0.357059,0.365325,0.017135,1.1092
450,0.357059,0.365264,0.016913,1.1104
475,0.357059,0.364451,0.016044,1.109
500,0.357059,0.364414,0.015681,1.1065
525,0.357059,0.363931,0.015072,1.1088
550,0.357059,0.363931,0.014821,1.11
575,0.357059,0.36323,0.014245,1.1063
600,0.357059,0.363402,0.014218,1.1074
625,0.357059,0.363302,0.013868,1.1036
650,0.357059,0.363261,0.013546,1.1039
675,0.357059,0.362652,0.012894,1.105
700,0.357059,0.36222,0.012593,1.1055
725,0.357059,0.362444,0.012652,1.1024
750,0.357059,0.362343,0.012146,1.1029
