"NC","True_delta","Rej_Rate","Effect"
50,0.0566,0.1815,"delta = 0.057"
75,0.0566,0.2515,"delta = 0.057"
100,0.0566,0.2945,"delta = 0.057"
125,0.0566,0.354,"delta = 0.057"
150,0.0566,0.4135,"delta = 0.057"
175,0.0566,0.4615,"delta = 0.057"
200,0.0566,0.4985,"delta = 0.057"
225,0.0566,0.5445,"delta = 0.057"
250,0.0566,0.589,"delta = 0.057"
275,0.0566,0.6225,"delta = 0.057"
300,0.0566,0.646,"delta = 0.057"
325,0.0566,0.7065,"delta = 0.057"
350,0.0566,0.708,"delta = 0.057"
375,0.0566,0.728,"delta = 0.057"
400,0.0566,0.764,"delta = 0.057"
425,0.0566,0.792,"delta = 0.057"
450,0.0566,0.83,"delta = 0.057"
475,0.0566,0.822,"delta = 0.057"
500,0.0566,0.838,"delta = 0.057"
525,0.0566,0.8635,"delta = 0.057"
550,0.0566,0.8865,"delta = 0.057"
575,0.0566,0.894,"delta = 0.057"
600,0.0566,0.911,"delta = 0.057"
625,0.0566,0.913,"delta = 0.057"
650,0.0566,0.9385,"delta = 0.057"
675,0.0566,0.9365,"delta = 0.057"
700,0.0566,0.9495,"delta = 0.057"
725,0.0566,0.9535,"delta = 0.057"
750,0.0566,0.9555,"delta = 0.057"
50,0.1198,0.5265,"delta = 0.120"
75,0.1198,0.6915,"delta = 0.120"
100,0.1198,0.776,"delta = 0.120"
125,0.1198,0.8655,"delta = 0.120"
150,0.1198,0.92,"delta = 0.120"
175,0.1198,0.951,"delta = 0.120"
200,0.1198,0.971,"delta = 0.120"
225,0.1198,0.9855,"delta = 0.120"
250,0.1198,0.991,"delta = 0.120"
275,0.1198,0.9965,"delta = 0.120"
300,0.1198,0.9935,"delta = 0.120"
325,0.1198,0.997,"delta = 0.120"
350,0.1198,0.9995,"delta = 0.120"
375,0.1198,0.9995,"delta = 0.120"
400,0.1198,1,"delta = 0.120"
425,0.1198,1,"delta = 0.120"
450,0.1198,0.999,"delta = 0.120"
475,0.1198,0.9995,"delta = 0.120"
500,0.1198,1,"delta = 0.120"
525,0.1198,1,"delta = 0.120"
550,0.1198,1,"delta = 0.120"
575,0.1198,1,"delta = 0.120"
600,0.1198,1,"delta = 0.120"
625,0.1198,1,"delta = 0.120"
650,0.1198,1,"delta = 0.120"
675,0.1198,1,"delta = 0.120"
700,0.1198,1,"delta = 0.120"
725,0.1198,1,"delta = 0.120"
750,0.1198,1,"delta = 0.120"
50,0.1862,0.856,"delta = 0.186"
75,0.1862,0.944,"delta = 0.186"
100,0.1862,0.98,"delta = 0.186"
125,0.1862,0.9945,"delta = 0.186"
150,0.1862,0.9985,"delta = 0.186"
175,0.1862,0.9995,"delta = 0.186"
200,0.1862,1,"delta = 0.186"
225,0.1862,1,"delta = 0.186"
250,0.1862,1,"delta = 0.186"
275,0.1862,1,"delta = 0.186"
300,0.1862,1,"delta = 0.186"
325,0.1862,1,"delta = 0.186"
350,0.1862,1,"delta = 0.186"
375,0.1862,1,"delta = 0.186"
400,0.1862,1,"delta = 0.186"
425,0.1862,1,"delta = 0.186"
450,0.1862,1,"delta = 0.186"
475,0.1862,1,"delta = 0.186"
500,0.1862,1,"delta = 0.186"
525,0.1862,1,"delta = 0.186"
550,0.1862,1,"delta = 0.186"
575,0.1862,1,"delta = 0.186"
600,0.1862,1,"delta = 0.186"
625,0.1862,1,"delta = 0.186"
650,0.1862,1,"delta = 0.186"
675,0.1862,1,"delta = 0.186"
700,0.1862,1,"delta = 0.186"
725,0.1862,1,"delta = 0.186"
750,0.1862,1,"delta = 0.186"
50,0.3094,0.995,"delta = 0.309"
75,0.3094,0.999,"delta = 0.309"
100,0.3094,1,"delta = 0.309"
125,0.3094,1,"delta = 0.309"
150,0.3094,1,"delta = 0.309"
175,0.3094,1,"delta = 0.309"
200,0.3094,1,"delta = 0.309"
225,0.3094,1,"delta = 0.309"
250,0.3094,1,"delta = 0.309"
275,0.3094,1,"delta = 0.309"
300,0.3094,1,"delta = 0.309"
325,0.3094,1,"delta = 0.309"
350,0.3094,1,"delta = 0.309"
375,0.3094,1,"delta = 0.309"
400,0.3094,1,"delta = 0.309"
425,0.3094,1,"delta = 0.309"
450,0.3094,1,"delta = 0.309"
475,0.3094,1,"delta = 0.309"
500,0.3094,1,"delta = 0.309"
525,0.3094,1,"delta = 0.309"
550,0.3094,1,"delta = 0.309"
575,0.3094,1,"delta = 0.309"
600,0.3094,1,"delta = 0.309"
625,0.3094,1,"delta = 0.309"
650,0.3094,1,"delta = 0.309"
675,0.3094,1,"delta = 0.309"
700,0.3094,1,"delta = 0.309"
725,0.3094,1,"delta = 0.309"
750,0.3094,1,"delta = 0.309"
