state_name,sector_name,iop_rel_wtd,se_correct,se_naive,stratum_impact,cluster_impact,total_impact
All States,All,0.5543,0.004,0.0038,-2.34,8.79,6.64
All States,Rural,0.4878,0.0049,0.0047,-0.82,4.1,3.31
All States,Urban,0.4525,0.0061,0.0058,-1.76,6.22,4.57
Uttar Pradesh,All,0.5341,0.0138,0.0133,-9.36,12.54,4.31
Uttar Pradesh,Rural,0.5233,0.0118,0.0121,-4.71,1.52,-3.12
Uttar Pradesh,Urban,0.5219,0.0243,0.0278,-4.28,-7.9,-12.56
Maharashtra,All,0.5465,0.011,0.0107,-6.1,8.01,2.39
Maharashtra,Rural,0.4744,0.0151,0.0153,-4.42,3.17,-1.1
Maharashtra,Urban,0.4275,0.0157,0.0145,-4.19,11.82,8.09
Bihar,All,0.5788,0.018,0.0182,-11.89,9.82,-0.89
Bihar,Rural,0.5172,0.0111,0.0107,-9.48,12.14,3.78
Bihar,Urban,0.4047,0.0254,0.0281,-5.8,-3.51,-9.53
West Bengal,All,0.5976,0.0126,0.0125,-5.58,6.31,1.08
West Bengal,Rural,0.4771,0.0162,0.0166,-1.88,-0.65,-2.55
West Bengal,Urban,0.4419,0.016,0.0148,-1.88,9.72,8.01
Madhya Pradesh,All,0.639,0.0181,0.0183,-10.94,9.13,-0.8
Madhya Pradesh,Rural,0.5276,0.0199,0.0213,-9.14,2.44,-6.46
Madhya Pradesh,Urban,0.5461,0.0329,0.0296,-8.96,18.5,11.04
Rajasthan,All,0.5901,0.0202,0.0192,-9.18,12.77,4.72
Rajasthan,Rural,0.5027,0.0195,0.0206,-6.88,1.14,-5.66
Rajasthan,Urban,0.4691,0.0374,0.0341,-7.37,15.95,9.66
