state_name,sector_name,iop_total_naive,iop_abs_naive,iop_rel_naive,iop_total_wtd,iop_abs_wtd,iop_rel_wtd
All States,All,0.6621,0.3366,0.5083,0.6691,0.3708,0.5543
All States,Rural,0.6693,0.306,0.4572,0.6368,0.3107,0.4878
All States,Urban,0.618,0.2691,0.4354,0.6261,0.2833,0.4525
Uttar Pradesh,All,0.6099,0.3166,0.5191,0.602,0.3215,0.5341
Uttar Pradesh,Rural,0.607,0.3214,0.5295,0.5635,0.2949,0.5233
Uttar Pradesh,Urban,0.5953,0.3084,0.5181,0.5913,0.3086,0.5219
Maharashtra,All,0.6552,0.318,0.4853,0.6784,0.3707,0.5465
Maharashtra,Rural,0.6839,0.3068,0.4486,0.6819,0.3235,0.4744
Maharashtra,Urban,0.6052,0.2582,0.4266,0.6089,0.2603,0.4275
Bihar,All,0.5502,0.3187,0.5793,0.5307,0.3071,0.5788
Bihar,Rural,0.5197,0.2996,0.5765,0.4834,0.25,0.5172
Bihar,Urban,0.547,0.2613,0.4777,0.5536,0.2241,0.4047
West Bengal,All,0.6641,0.3452,0.5198,0.6424,0.3839,0.5976
West Bengal,Rural,0.6272,0.3134,0.4997,0.5952,0.2839,0.4771
West Bengal,Urban,0.6455,0.2607,0.4039,0.6123,0.2706,0.4419
Madhya Pradesh,All,0.6249,0.3787,0.606,0.6208,0.3967,0.639
Madhya Pradesh,Rural,0.6213,0.3462,0.5572,0.5489,0.2896,0.5276
Madhya Pradesh,Urban,0.5782,0.3092,0.5348,0.5928,0.3237,0.5461
Rajasthan,All,0.6178,0.3341,0.5408,0.6281,0.3707,0.5901
Rajasthan,Rural,0.616,0.3098,0.5029,0.587,0.2951,0.5027
Rajasthan,Urban,0.5729,0.2518,0.4395,0.5778,0.2711,0.4691
