state,state_name,sector_name,n,avg,avg_wtd,sd
All,All States,All,43429,16365.317460682954,9916.880209361336,44962.10020094823
All,All States,Rural,27897,12713.052084453526,6758.607371294986,41196.93239456952
All,All States,Urban,15532,22925.145377285604,18148.37367975631,50372.645844333856
09,Uttar Pradesh,All,4819,13867.185308155218,8670.129889764336,25534.201220845283
09,Uttar Pradesh,Rural,3487,12295.252939489532,6677.656222473309,24527.179117000745
09,Uttar Pradesh,Urban,1332,17982.296546546546,15771.26632967471,27588.050285156736
27,Maharashtra,All,3462,18468.484113229348,14402.588956815796,44768.592249028
27,Maharashtra,Rural,1762,13287.38081725312,8444.562756473457,45909.2303630771
27,Maharashtra,Urban,1700,23838.545294117648,22319.183099342074,42912.792730054185
10,Bihar,All,3311,8397.086982784656,4832.926734778724,12147.388970486072
10,Bihar,Rural,2711,6917.215418664699,4027.313129858197,8617.990790963684
10,Bihar,Urban,600,15083.64,12872.26430416405,20607.885510545704
19,West Bengal,All,3148,14071.392630241424,7519.724017498733,38904.52783549165
19,West Bengal,Rural,2045,9351.505134474328,5163.724306907341,19661.402955428486
19,West Bengal,Urban,1103,22822.226654578422,14647.368605288084,59053.393164282854
23,Madhya Pradesh,All,2669,12859.894342450356,7383.1500349748185,32094.816743820444
23,Madhya Pradesh,Rural,1732,9755.070438799075,4907.922380174166,33649.77783234289
23,Madhya Pradesh,Urban,937,18599.013874066168,15216.444794284043,28130.17239064438
08,Rajasthan,All,1887,12706.053524112347,8344.202368606366,23541.224080553104
08,Rajasthan,Rural,1328,10082.7078313253,5866.603788023684,21350.215101649224
08,Rajasthan,Urban,559,18938.25939177102,16752.146943688473,27088.77104774301
