state_name,sector_name,iop_total_naive,iop_abs_naive,iop_rel_naive,iop_total_wtd,iop_abs_wtd,iop_rel_wtd
All States,All,0.5153,0.2685,0.521,0.5298,0.2735,0.5161
All States,Rural,0.5009,0.2698,0.5386,0.5071,0.2712,0.5347
All States,Urban,0.4921,0.2601,0.5285,0.5089,0.2602,0.5114
Uttar Pradesh,All,0.4736,0.2527,0.5336,0.474,0.2541,0.536
Uttar Pradesh,Rural,0.4569,0.2616,0.5726,0.4577,0.2608,0.5699
Uttar Pradesh,Urban,0.4531,0.2201,0.4857,0.4595,0.2213,0.4817
Maharashtra,All,0.5577,0.2951,0.529,0.5591,0.2919,0.5222
Maharashtra,Rural,0.5618,0.3079,0.548,0.5599,0.3061,0.5467
Maharashtra,Urban,0.5129,0.2377,0.4634,0.5171,0.2399,0.464
Bihar,All,0.4231,0.2141,0.5061,0.4214,0.2126,0.5045
Bihar,Rural,0.4099,0.2024,0.4939,0.4096,0.1994,0.4869
Bihar,Urban,0.3975,0.2047,0.515,0.4234,0.2046,0.4833
West Bengal,All,0.5318,0.3053,0.5742,0.5349,0.3036,0.5677
West Bengal,Rural,0.4657,0.2823,0.6063,0.4678,0.2816,0.6021
West Bengal,Urban,0.5397,0.309,0.5725,0.5593,0.3082,0.5511
Madhya Pradesh,All,0.4974,0.3101,0.6235,0.4998,0.3066,0.6134
Madhya Pradesh,Rural,0.4681,0.2744,0.5862,0.4727,0.275,0.5819
Madhya Pradesh,Urban,0.4642,0.2665,0.5741,0.4597,0.2571,0.5593
Rajasthan,All,0.5448,0.2941,0.5397,0.5505,0.298,0.5413
Rajasthan,Rural,0.5546,0.2989,0.539,0.5586,0.3031,0.5426
Rajasthan,Urban,0.5,0.2833,0.5665,0.491,0.2805,0.5712
