state,state_name,sector_name,n,avg,avg_wtd,sd
All,All States,All,260306,43301.93285594645,41521.21992786772,63329.97655323732
All,All States,Rural,152989,33146.86999065292,32190.306143036356,50831.86872299227
All,All States,Urban,107317,57778.79032212977,59869.304579815696,75419.89691250963
09,Uttar Pradesh,All,29951,40190.69042769857,37769.40873350171,49771.567703825465
09,Uttar Pradesh,Rural,19366,32330.262883403902,32487.403881186216,42847.349475979114
09,Uttar Pradesh,Urban,10585,54571.89400094473,55318.33381630103,57714.20822372301
27,Maharashtra,All,22669,51741.08160924611,52627.78227501419,86022.90138115076
27,Maharashtra,Rural,11579,35272.95690474134,37015.78497520825,73741.96665072258
27,Maharashtra,Urban,11090,68935.34815148782,70935.58187880921,94182.47715165262
10,Bihar,All,17025,31388.717885462556,29941.90345772312,33885.08186620504
10,Bihar,Rural,13445,27460.05764224619,27879.024128236986,26799.484082851046
10,Bihar,Urban,3580,46143.14162011173,48953.30787052999,49879.522315665825
19,West Bengal,All,18038,27961.202239716153,26693.683080878258,42399.57550027666
19,West Bengal,Rural,10632,19614.823457486833,19570.34931579805,23153.446069645324
19,West Bengal,Urban,7406,39943.203213610584,41713.21733030927,58014.11435791678
23,Madhya Pradesh,All,13899,39690.35686020577,36441.38092768138,47553.080667733186
23,Madhya Pradesh,Rural,8235,28159.981420765027,27709.294916299794,32017.634194873688
23,Madhya Pradesh,Urban,5664,56454.59445621469,57920.30471627315,59872.02341718599
08,Rajasthan,All,13072,49344.4623623011,50030.51859664951,87220.8838192939
08,Rajasthan,Rural,8705,42165.29707064905,42672.29796099205,87790.7686863865
08,Rajasthan,Urban,4367,63655.11815891917,68897.0259387332,84278.03857199731
